code,description,symptoms,causes
P0606,PCM Processor Fault,"Erratic or incorrect speedometer/odometer, Abnormal (automatic) transmission shifting, Output shaft speed sensor codes, Input speed sensor codes, ABS or Traction Control System (TCS) codes","Defective PCM, TCM, or other controller, Open or shorted circuits in the CAN, Corroded, broken, or loose electrical connectors, Controller programming error"
P0608,"Control Module VSS Output ""A"" Malfunction","Erratic or incorrect speedometer/odometer, Abnormal (automatic) transmission shifting, Output shaft speed sensor codes, Input speed sensor codes, ABS or Traction Control System (TCS) codes","Defective PCM, TCM, or other controller, Open or shorted circuits in the CAN, Corroded, broken, or loose electrical connectors, Controller programming error"
P0609,"Control Module VSS Output ""B"" Malfunction","Engine drivability issues, Engine stall when idling, Delayed engine cranking (especially when cold), Other stored codes","Faulty PCM, PCM programming error, Open or shorted generator control circuit, Failed generator assembly, Insufficient control module ground"
P0620,Generator Control Circuit Malfunction,"Engine drivability issues, Engine stall when idling, Inadvertent engine shutoff, Delayed engine cranking, Other stored codes","Faulty PCM, PCM programming error, Open or shorted generator lamp control circuit, Defective alternator/generator, Failed generator lamp bulb"
P0621,"Generator Lamp ""L"" Control Circuit Malfunction","Engine drivability issues, Engine stall when idling, Inadvertent engine shutoff, Delayed engine cranking, Other stored codes","Faulty PCM, PCM programming error, Open or shorted generator field control circuit, Defective alternator/generator"
P0622,"Generator Field ""F"" Control Circuit Malfunction","Malfunction indicator lamp NOT illuminating when it should (check engine light or service engine soon light), MIL being illuminated all the time","Burned out MIL bulb/LED, MIL wiring problem (short or open electrical condition), Poor electrical connection at the bulb/cluster/PCM, Failed/faulty PCM"
P0650,Malfunction Indicator Lamp (MIL) Control Circuit Malfunction,"Erratic or harsh transmission shifting, ABS or TCS problems, Engine drivability issues, Stored ABS and TCS codes","PCM programming error, Faulty controller or PCM, Open or shorted circuit between the PCM and the instrument panel or other controllers"
P0654,Engine RPM Output Circuit Malfunction,"Engine drivability issues, Inoperative engine hot lamp, Engine hot lamp is illuminated constantly","Open or shorted circuit between the PCM and the instrument panel or other controllers, PCM programming error, Faulty controller or PCM"
P0655,Engine Hot Lamp Output Control Circuit Malfucntion,"Inoperative fuel level gauge, Low fuel lamp is inoperative, Low fuel lamp remains illuminated, Engine drivability issues, Fuel temperature codes, Evaporative emission system codes","Open or shorted circuit between the PCM and the instrument panel or other controllers, PCM programming error, Faulty controller or PCM"
P0656,Fuel Level Output Circuit Malfunction,"Malfunction Indicator Lamp (MIL) illumination, The transmission may exhibit drivability problems like slipping, etc.","2005 Dodge Durango multiple codes set for tranny P0700, P0845, P0731, P0732, P0733I have a 2005 Dodge Durango SXT 4.7L with the 5-45RFE transmission. It has roughly 138,000 miles on it. I recently replaced the transmission shift solenoid pack after the truck went into ""limp mode"". After replacing the solenoid pack I was able to clear the original trouble codes for the solenoid..., trans code P0700 2004 pt cruiser gt turboI have a 2004 cruiser gt turbo throwing the code P0700..indicates either a faulty tcm...or solenoid problem in the trans (auto)..car has 144K two owner miles.in better than +9 condition. When the weather drops below 50 degrees F the trans does not go into gear until the car has warmed up for almo..., 2003 dodge caravan code p0700Awhile back my 2003 dodge caravan check engine light went on. Went to autozone to scan, p0700, p1698 and p0500. Van will not go over 50 unless I force accelerate. Changed the in and out speed sensor and a remanufactured TCM from ALL COMPUTER RESOURCES, inc. this TCM gave me more problems, All Comput..., 2006 Dodge Magnum p0700 and u0100 codesI own a 06 dodge magnum getting a p0700 and u0100 code. Car shuts off 10 times a day ive replaced cam and crankshaft sensors, purge solenoid, plugs, tcm,and pcm and still same stuff. It is a 5.7l rt hemi if anyone has had this problem help me........, P0700, no additional codes?Hi all,
I feel almost guilty posting here; typically I'm very thankful for mechanics and grateful for the work they do. But I just moved to a new state and my jeep starting giving me trouble, so I took it to a local garage (a NAPA AutoCare center). Anyway, the 2002 Jeep Grand Cherokee (4-wheel drive..., 2006 chyseler pacifica p0700I have tried replacing the TCM solenoid and the trans axle input speed sensor still no change car is stuck in limp mode please help..., Honda 2001 prelude p0715 and p0700 togetherCode issues are p0715 and p0700 together. I took it to a mechanic and each code he fixed the check engine light would turn off after the job then after driving it both the codes popped back on? He told me not to put more money into the car and to just buy a new transmission. What I don't understand ..., 2005 Jeep Grand Cherokee 4.7. ABS light, Traction control light help P0700Any advice for the ABS light, traction control light being on along with the message of service Elec Brake system, service 4WD System. It's for a 2005 Jeep Grand cherokee 4.7. I had the ABS module replaced by my dealership, they told me my cluster was bad because message center didn't work. T..., 2004 Dodge Ram 1500 5.7 eng. codes P0700, P0740Check light stays on all the time. When pulling camper, the red light ( heat trans ) comes on also. Notice no difference in performance. Getting poorer gas mileage...., P0700 IssuesI have a 2007 Cadillac DTS. I've only had the car about a week.
A couple days ago, I was accelerating and the check engine light came on. P0700 and P2534 came up. I went to a mechanic thinking it was a transmission speed sensor. He checked the code and said we had to clear the P2534 code first the..."
P0700,Transmission Control System Malfunction,"Erratic transmission shift patterns, Failure of the transmission to shift, Diminished fuel efficiency, Transmission slippage, Delayed transmission engagement, Other transmission related codes","Low transmission fluid level, Substandard transmission fluid, Transmission sensor failure, Open or shorted circuits in the transmission control system, Mechanical (internal) transmission failure, Torque converter defects, Defective transmission controller or PCM programming error"
P0701,Transmission Control System Range/Performance,"Erratic transmission shift patterns, Failure of the transmission to shift at all, Decreased fuel efficiency, Other transmission related codes","Transmission sensor failure, Open or shorted circuits in the transmission control system, Defective transmission controller or PCM programming error"
P0702,Transmission Control System Electrical,"Engine stalling when the vehicle rolls to a stop, TCC lockup may be disabled, Diminished fuel efficiency, Decreased engine performance (especially at highway speeds), Erratic transmission shift patterns, No stop lamp illumination","Defective brake switch, Misadjusted brake switch, Shorted or open wiring and/or connectors in the brake switch circuit designated as B, Blown fuse or burnt fusible link, Faulty PCM or PCM programming error"
P0703,Torque Converter/Brake Switch B Circuit Malfunction,"Intermittent or failed engine starting, Diminished fuel efficiency, Excessive engine RPM at idle, Traction control system may be disabled, Safety functions may be disabled on some models","Defective clutch switch, Worn clutch pedal lever or clutch lever bushing, Shorted or open wiring and/or connectors in the clutch switch circuit, Blown fuse or burnt fusible link, Faulty PCM or PCM programming error"
P0704,Clutch Switch Input Circuit Malfunction,"Malfunction Indicator Lamp (MIL) illumination with P0705 DTC code set, The backup lights may fail to function, It may be necessary to move the gearshift lever up and down slightly for a better contact to allow the starter to actuate and start the engine, It may be impossible to actuate the starter, In some cases, the engine will only start in neutral, May start in any gear, Irregular shift RPMs, Drop in fuel economy, The transmission may display a delayed engagement, Toyota vehicles to include trucks may display erratic instrument readings","TRS is loose and mal-adjusted, Transmission range sensor is defective, Bad connector at the external TRS, either loose, corroded or bent pins, Shorted wiring harness on the external sensor as a result of rubbing on the transmission linkage, Blockage in the internal valve body TRS port or defective sensor"
P0705,Transmission Range Sensor Circuit malfunction (PRNDL Input),"Faulty transmission range sensor, Misadjusted transmission range sensor, Open or shorted transmission range sensor harness, Faulty PCM","Faulty transmission range sensor, Misadjusted transmission range sensor, Open or shorted transmission range sensor harness, Faulty PCM"
P0706,Transmission Range Sensor Circuit Range/Performance,"Faulty transmission range sensor, Open or shorted wiring, Misadjusted transmission range sensor, Faulty PCM","Faulty transmission range sensor, Open or shorted wiring, Misadjusted transmission range sensor, Faulty PCM"
P0707,Transmission Range Sensor Circuit Low Input,"Faulty transmission range sensor, Misadjusted transmission shift cable/linkage, Damaged wiring, Misadjusted range sensor, (Rarely) PCM or TCM failure","Faulty transmission range sensor, Misadjusted transmission shift cable/linkage, Damaged wiring, Misadjusted range sensor, (Rarely) PCM or TCM failure"
P0708,Transmission Range Sensor Circuit High Input,"Faulty transmission range sensor, Faulty wiring, (Rarely) Faulty PCM or TCM","Faulty transmission range sensor, Faulty wiring, (Rarely) Faulty PCM or TCM"
P0709,Transmission Range Sensor Circuit Intermittent,"Illuminate check engine light, Improper torque converter clutch operation, Harsh or delayed shifts, Vehicle stuck in limp mode","Faulty transmission fluid temperature sensor, Transmission problems, Wiring problems, Faulty PCM"
P0710,Transmission Fluid Temperature Sensor Circuit Malfunction,"Illuminate check engine light, Improper torque converter clutch operation, Harsh or delayed shifts, Vehicle stuck in limp mode","Faulty transmission fluid temperature sensor, Transmission problems, Wiring problems, Faulty PCM"
P0711,Transmission Fluid Temperature Sensor Circuit Range/Performance,"Illuminate check engine light, Improper torque converter clutch operation, Harsh or delayed shifts, Vehicle stuck in limp mode","Faulty transmission fluid temperature sensor, Transmission problems, Wiring problems, Faulty PCM"
P0712,Transmission Fluid Temperature Sensor Circuit Low Input,"Illuminate check engine light, Improper torque converter clutch operation, Harsh or delayed shifts, Vehicle stuck in limp mode","Faulty transmission fluid temperature sensor, Transmission problems, Wiring problems, Faulty PCM"
P0713,Transmission Fluid Temperature Sensor Circuit High Input,"Illuminate check engine light, Improper torque converter clutch operation, Harsh or delayed shifts, Vehicle stuck in limp mode","Faulty transmission fluid temperature sensor, Transmission problems, Wiring problems, Faulty PCM"
P0714,Transmission Fluid Temperature Sensor Circuit Intermittent,"Harsh or erratic transmission shift points, Failure of the transmission to shift, Decreased fuel efficiency, Speedometer (odometer) fluctuation, Lack of speedometer (odometer) operation, In some cases, when coming to a stop the engine may stall","Defective input speed sensor, Faulty output speed sensor, Damaged, worn, or broken reluctor ring or shaft, Bad transmission torque converter, Loose, burned, or otherwise damaged wiring and/or connectors, PCM failure or programming error"
P0715,Input/Turbine Speed Sensor Circuit Malfunction,"Speedometer and/or odometer fluctuation, Harsh or erratic transmission shifting, Failure of the transmission to shift at all, Poor fuel efficiency, Intermittent speedometer (odometer) operation, The engine may stall when stopping the vehicle","Damaged, loose, or burned wiring and/or connectors, A faulty input speed sensor, A defective output speed sensor, Malfunctioning transmission torque converter, PCM failure or a PCM programming error"
P0716,Input/Turbine Speed Sensor Circuit Range/Performance,"Intermittent or erratic speedometer (odometer) operation, Inability of the transmission to shift at all, Inoperative speedometer and/or odometer, Erratic or harsh transmission shift points, A decrease in fuel efficiency","A faulty input speed sensor, Damaged, loose, or shorted wiring and/or connectors in the circuit, PCM failure or a PCM programming error"
P0717,Input/Turbine Speed Sensor Circuit No Signal,"Erratic speedometer (odometer) operation, The transmission fails to shift properly, Speedometer and/or odometer will not operate at all, Transmission shift points are erratic or harsh, Diminished fuel efficiency","Defective input speed sensor, Damaged, loose, or burnt wiring and/or connectors, PCM failure or a PCM programming error, Accumulation of metal debris on the magnetic sensor"
P0718,Input/Turbine Speed Sensor Circuit Intermittent,"Engine stalling when the vehicle rolls to a stop, TCC lockup may be disabled, Diminished fuel efficiency, Decreased engine performance (especially at highway speeds), Erratic transmission shift patterns, No stop lamp illumination","Defective brake switch, Misadjusted brake switch, Shorted or open wiring and/or connectors in the brake switch circuit designated as B, Blown fuse or burnt fusible link, Faulty PCM or PCM programming error"
P0719,Torque Converter/Brake Switch B Circuit Low,"Delayed shifts, Speedometer not working, Check Engine Light illuminated (Malfunction Indicator Lamp)","Output shaft speed sensor, Electrical wiring or connections, Transmission fluid temperature sensor"
P0720,Output Speed Sensor Circuit Malfunction,"Poor fuel economy, Check Engine Light illuminated, Transmission does not shift, Transmission Shifts roughly, Possibly misfire-like symptoms, PCM puts the engine into limp mode, Speedometer shows incorrect or erratic reading","Defective Output Speed Sensor, Dirty or contaminated fluid, Dirty or clogged transmission filter, Defective Coolant Temperature Sensor, Defective Transmission Valve Body, Restricted hydraulic passages, Faulty Shift Solenoid, Corroded or damaged connector, Faulty or damaged wiring, Faulty PCM"
P0721,Output Speed Sensor Range/Performance,"Poor fuel economy, Check Engine Light illuminated, Transmission does not shift, Transmission Shifts roughly, Possibly misfire-like symptoms, PCM puts the engine into limp mode, Speedometer shows incorrect or erratic reading","Defective Output Speed Sensor, Dirty or contaminated fluid, Dirty or clogged transmission filter, Defective Coolant Temperature Sensor, Defective Transmission Valve Body, Restricted hydraulic passages, Faulty Shift Solenoid, Corroded or damaged connector, Faulty or damaged wiring, Faulty PCM"
P0722,Output Speed Sensor No Signal,"Poor fuel economy, Check Engine Light illuminated, Transmission does not shift, Transmission Shifts roughly, Possibly misfire-like symptoms, PCM puts the engine into limp mode, Speedometer shows incorrect or erratic reading","Defective Output Speed Sensor, Dirty or contaminated fluid, Dirty or clogged transmission filter, Defective Coolant Temperature Sensor, Defective Transmission Valve Body, Restricted hydraulic passages, Faulty Shift Solenoid, Corroded or damaged connector, Faulty or damaged wiring, Faulty PCM"
P0723,Output Speed Sensor Intermittent,"Engine stalling when the vehicle rolls to a stop, TCC lockup may be disabled, Diminished fuel efficiency, Decreased engine performance (especially at highway speeds), Erratic transmission shift patterns, No stop lamp illumination","Defective brake switch, Misadjusted brake switch, Shorted or open wiring and/or connectors in the brake switch circuit designated as B, Blown fuse or burnt fusible link, Faulty PCM or PCM programming error"
P0724,Torque Converter/Brake Switch B Circuit High,"Erratic or inoperative speedometer/odometer, Automatic transmissions may shift harshly (limp-in mode), Transmission fails to shift or shifts erratically, Inoperative or incorrect tachometer, Transmission slippage or delayed engagement, Additional transmission input/output speed codes may be stored","Defective engine speed input sensor or transmission output speed sensor, Damaged or worn engine speed sensor reluctor ring, Open or shorted wiring and/or connectors in the engine speed input circuit, Excessive metal deposits on the magnetic tip of the sensor in question, Mechanical transmission failure which results in transmission/clutch slippage"
P0725,Engine Speed input Circuit Malfunction,"Transmission fails to shift or shifts erratically, Erratic or inoperative speedometer/odometer, Automatic transmissions may shift harshly (limp-in mode), Inoperative or incorrect tachometer, Transmission slippage or delayed engagement, Additional transmission input/output speed codes may be stored","Excessive metal deposits on the magnetic tip of the sensor in question, Defective engine speed input sensor or transmission output speed sensor, Damaged or worn engine speed sensor reluctor ring, Open or shorted wiring and/or connectors in the engine speed input circuit, Mechanical transmission failure which results in transmission/clutch slippage"
P0726,Engine Speed Input Circuit Range/Performance,"Automatic transmissions may shift harshly (limp-in mode), Transmission fails to shift or shifts erratically, Erratic or inoperative speedometer/odometer, Inoperative or incorrect tachometer, Transmission slippage or delayed engagement, Additional transmission input/output speed codes may be stored","Open or shorted wiring and/or connectors in the engine speed input circuit, Excessive metal deposits on the magnetic tip of the sensor, Defective engine speed input sensor or transmission output speed sensor, Damaged or worn engine speed sensor reluctor ring, Mechanical transmission failure which results in transmission/clutch slippage"
P0727,Engine Speed Input Circuit No Signal,"Erratic or inoperative speedometer/odometer, Automatic transmissions may shift harshly (limp-in mode), Transmission fails to shift or shifts erratically, Inoperative or incorrect tachometer, Transmission slippage or delayed engagement, Additional transmission input/output speed codes may be stored","Open or shorted wiring and/or connectors in the engine speed input circuit, Excessive metal deposits on the magnetic tip of the sensor, Defective engine speed input sensor or transmission output speed sensor, Damaged or worn engine speed sensor reluctor ring, Mechanical transmission failure which results in transmission/clutch slippage"
P0728,Engine Speed Input Circuit Intermittent,"Check Engine Light illuminated (Malfunction indicator lamp), Delayed shift or not shifting into correct gear, Transmission slipping, Loss of fuel economy","Low or dirty transmission fluid, Worn pump or clogged fluid filter, Torque converter clutch, solenoid, or internal blockage, Mechanical failure inside transmission, Internal blockage inside transmission main control, Faulty shift solenoids or wiring, Faulty transmission control module"
P0730,Incorrect Gear Ratio,"Check Engine Light illuminated (Malfunction indicator lamp), Not starting in 1st gear, sluggish acceleration, Transmission slipping, Loss of fuel economy","Low or dirty transmission fluid, Mechanical failure inside transmission, Internal blockage inside transmission main control, Faulty Shift solenoid, Faulty transmission control module"
P0731,Gear 1 Incorrect ratio,"Check Engine Light illuminated (Malfunction indicator lamp), Delayed shift or not shifting into 2nd gear, Transmission slipping, Loss of fuel economy","Low or dirty transmission fluid, Mechanical failure inside transmission, Internal blockage inside transmission main control, Faulty Shift solenoid, Faulty transmission control module"
P0732,Gear 2 Incorrect ratio,"Check Engine Light illuminated (Malfunction indicator lamp), Delayed shift or not shifting into 3rd gear, Transmission slipping, Loss of fuel economy","Low or dirty transmission fluid, Mechanical failure inside transmission, Internal blockage inside transmission main control, Faulty Shift solenoid, Faulty transmission control module"
P0733,Gear 3 Incorrect ratio,"Check Engine Light illuminated (Malfunction indicator lamp), Delayed shift or not shifting into 4th gear, Transmission slipping, Loss of fuel economy","Low or dirty transmission fluid, Mechanical failure inside transmission, Internal blockage inside transmission main control, Faulty Shift solenoid, Faulty transmission control module"
P0734,Gear 4 Incorrect ratio,"Check Engine Light illuminated (Malfunction indicator lamp), Delayed shift or not shifting into 5th gear, Transmission slipping, Loss of fuel economy","Low or dirty transmission fluid, Mechanical failure inside transmission, Internal blockage inside transmission main control, Faulty Shift solenoid, Faulty transmission control module"
P0735,Gear 5 Incorrect ratio,"Check Engine Light illuminated (Malfunction indicator lamp), Delayed shift or not shifting into reverse gear, Transmission slipping","Low or dirty transmission fluid, Mechanical failure inside transmission, Internal blockage inside transmission main control, Faulty Shift solenoid, Faulty transmission control module"
P0736,Reverse incorrect gear ratio,"Malfunction Indicator Lamp (MIL) illuminated (a.k.a. Check Engine Light), Minimal decrease in fuel economy, this will not affect engine performance","Wiring harness to transmission damaged, loose connection, open or shorted circuit, Torque converter clutch (TCC) solenoid, Transmission control module (TCM)"
P0740,Torque Converter Clutch Circuit Malfuction,"Performance or Stuck Off Indicator Lamp (MIL) illuminated (a.k.a. Check Engine Light), Minimal decrease in fuel economy, this will not affect engine performance","Wiring harness to transmission shorted to ground, Torque converter clutch (TCC) solenoid internal short, Transmission control module (TCM)"
P0741,Torque Converter Clutch Circuit Performance or Stuck Off,"Stuck On Indicator Lamp (MIL) illuminated (a.k.a. Check Engine Light), If the torque converter clutch is actually stuck on, the engine may stall at idle. This is a common problem for certain model GM vehicles, while driving at highway speeds and then coming to a stop the engine dies from the torque converter clutch being stuck on. Usually the engine will restart and resume normal operation.","Wiring harness to transmission, damaged, pinched or shorted to power, Torque converter clutch (TCC) solenoid failure, Transmission control module (TCM)"
P0742,Torque Converter Clutch Circuit Stuck On,"Malfunction indicator illumination (check engine light or service engine soon light), Stalling when coming to a stop after cruising speeds, Shudder on take off, Shudder when coming to a stop","Low or dirty transmission fluid, Wire/circuit issue shorted to power or ground, Failed torque converter clutch (TCC) solenoid, Failed TCC assembly in the torque converter, Failed PCM/ECM/EMC"
P0743,Torque Converter Clutch Circuit Electrical,"Intermittent Indicator Lamp (MIL) illuminated (a.k.a. Check Engine Light), Minimal decrease in fuel economy, this will not affect engine performance","Wiring harness to transmission damaged, loose connection, or intermittent open/short circuit, Torque converter clutch (TCC) solenoid, Transmission control module (TCM)"
P0744,Torque Converter Clutch Circuit Intermittent,"Vehicle enters limp mode, Transmission slips when shifting, Transmission overheating, Transmission catches in gear, Decreased fuel economy, Possibly misfire-like symptoms, Check Engine Light illuminated","Defective Pressure Control Solenoid, Dirty or contaminated fluid, Dirty or clogged transmission filter, Defective Transmission Pump, Defective Transmission Valve Body, Restricted hydraulic passages, Corroded or damaged connector, Faulty or damaged wiring, Faulty PCM"
P0745,Pressure Control Solenoid Malfunction,"Vehicle enters limp mode, Transmission slips when shifting, Transmission overheating, Transmission catches in gear, Decreased fuel economy, Possibly misfire-like symptoms, Check Engine Light illuminated","Defective Pressure Control Solenoid, Dirty or contaminated fluid, Dirty or clogged transmission filter, Defective Transmission Pump, Defective Transmission Valve Body, Restricted hydraulic passages, Corroded or damaged connector, Faulty or damaged wiring, Faulty PCM"
P0746,Pressure Control Solenoid Performance or Stuck Off,"Vehicle enters limp mode, Transmission slips when shifting, Transmission overheating, Transmission catches in gear, Decreased fuel economy, Possibly misfire-like symptoms, Check Engine Light illuminated","Defective Pressure Control Solenoid, Dirty or contaminated fluid, Dirty or clogged transmission filter, Defective Transmission Pump, Defective Transmission Valve Body, Restricted hydraulic passages, Corroded or damaged connector, Faulty or damaged wiring, Faulty PCM"
P0747,Pressure Control Solenoid Stuck On,"Vehicle enters limp mode, Transmission slips when shifting, Transmission overheating, Transmission catches in gear, Decreased fuel economy, Possibly misfire-like symptoms, Check Engine Light illuminated","Defective Pressure Control Solenoid, Dirty or contaminated fluid, Dirty or clogged transmission filter, Defective Transmission Pump, Defective Transmission Valve Body, Restricted hydraulic passages, Corroded or damaged connector, Faulty or damaged wiring, Faulty PCM"
P0748,Pressure Control Solenoid Electrical,"Vehicle enters limp mode, Transmission slips when shifting, Transmission overheating, Transmission catches in gear, Decreased fuel economy, Possibly misfire-like symptoms, Check Engine Light illuminated","Defective Pressure Control Solenoid, Dirty or contaminated fluid, Dirty or clogged transmission filter, Defective Transmission Pump, Defective Transmission Valve Body, Restricted hydraulic passages, Corroded or damaged connector, Faulty or damaged wiring, Faulty PCM"
P0749,Pressure Control Solenoid Intermittent,"Transmission slipping, Transmission overheating, Transmission catches in gear, Decreased fuel economy, Possibly misfire-like symptoms, Vehicle enters limp mode, Check Engine Light illuminated","Insufficient fluid level, Dirty or contaminated fluid, Dirty or clogged transmission filter, Defective transmission valve body, Restricted hydraulic passages, Transmission has internal failure, Faulty shift solenoid, Corroded or damaged connector, Faulty or damaged wiring, Faulty PCM"
P0750,Shift Solenoid A Malfunction,"Transmission slipping, Transmission overheating, Transmission catches in gear, Decreased fuel economy, Possibly misfire-like symptoms, Vehicle enters limp mode, Check Engine Light illuminated","Insufficient fluid level, Dirty or contaminated fluid, Dirty or clogged transmission filter, Defective transmission valve body, Restricted hydraulic passages, Transmission has internal failure, Faulty shift solenoid, Corroded or damaged connector, Faulty or damaged wiring, Faulty PCM"
P0751,Shift Solenoid A Performance or Stuck Off/,"Transmission slipping, Transmission overheating, Transmission catches in gear, Decreased fuel economy, Possibly misfire-like symptoms, Vehicle enters limp mode, Check Engine Light illuminated","Insufficient fluid level, Dirty or contaminated fluid, Dirty or clogged transmission filter, Defective transmission valve body, Restricted hydraulic passages, Transmission has internal failure, Faulty shift solenoid, Corroded or damaged connector, Faulty or damaged wiring, Faulty PCM"
P0752,1-2 Shift Solenoid Valve Performance,"Transmission slipping, Transmission overheating, Transmission catches in gear, Decreased fuel economy, Possibly misfire-like symptoms, Vehicle enters limp mode, Check Engine Light illuminated","Insufficient fluid level, Dirty or contaminated fluid, Dirty or clogged transmission filter, Defective transmission valve body, Restricted hydraulic passages, Transmission has internal failure, Faulty shift solenoid, Corroded or damaged connector, Faulty or damaged wiring, Faulty PCM"
P0753,Shift Solenoid A Stuck On,"Transmission slipping, Transmission overheating, Transmission catches in gear, Decreased fuel economy, Possibly misfire-like symptoms, Vehicle enters limp mode, Check Engine Light illuminated","Insufficient fluid level, Dirty or contaminated fluid, Dirty or clogged transmission filter, Defective transmission valve body, Restricted hydraulic passages, Transmission has internal failure, Faulty shift solenoid, Corroded or damaged connector, Faulty or damaged wiring, Faulty PCM"
P0754,Shift Solenoid A Electrical/,"Transmission slipping, Transmission overheating, Transmission catches in gear, Decreased fuel economy, Possibly misfire-like symptoms, Vehicle enters limp mode, Check Engine Light illuminated","Insufficient fluid level, Dirty or contaminated fluid, Dirty or clogged transmission filter, Defective transmission valve body, Restricted hydraulic passages, Transmission has internal failure, Faulty shift solenoid, Corroded or damaged connector, Faulty or damaged wiring, Faulty PCM"
P0755,1-2 Shift Solenoid Circuit Electrical,"Transmission slipping, Transmission overheating, Transmission catches in gear, Decreased fuel economy, Possibly misfire-like symptoms, Vehicle enters limp mode, Check Engine Light illuminated","Insufficient fluid level, Dirty or contaminated fluid, Dirty or clogged transmission filter, Defective transmission valve body, Restricted hydraulic passages, Transmission has internal failure, Faulty shift solenoid, Corroded or damaged connector, Faulty or damaged wiring, Faulty PCM"
P0756,Shift Solenoid A Intermittent,"Transmission slipping, Transmission overheating, Transmission catches in gear, Decreased fuel economy, Possibly misfire-like symptoms, Vehicle enters limp mode, Check Engine Light illuminated","Insufficient fluid level, Dirty or contaminated fluid, Dirty or clogged transmission filter, Defective transmission valve body, Restricted hydraulic passages, Transmission has internal failure, Faulty shift solenoid, Corroded or damaged connector, Faulty or damaged wiring, Faulty PCM"
P0757,Shift Solenoid B Malfunction,"Transmission slipping, Transmission overheating, Transmission catches in gear, Decreased fuel economy, Possibly misfire-like symptoms, Vehicle enters limp mode, Check Engine Light illuminated","Insufficient fluid level, Dirty or contaminated fluid, Dirty or clogged transmission filter, Defective transmission valve body, Restricted hydraulic passages, Transmission has internal failure, Faulty shift solenoid, Corroded or damaged connector, Faulty or damaged wiring, Faulty PCM"
P0758,Shift Solenoid B Performance or Stuck Off/,"Transmission slipping, Transmission overheating, Transmission catches in gear, Decreased fuel economy, Possibly misfire-like symptoms, Vehicle enters limp mode, Check Engine Light illuminated","Insufficient fluid level, Dirty or contaminated fluid, Dirty or clogged transmission filter, Defective transmission valve body, Restricted hydraulic passages, Transmission has internal failure, Faulty shift solenoid, Corroded or damaged connector, Faulty or damaged wiring, Faulty PCM"
P0759,2-3 Shift Solenoid Valve Performance,"Transmission slipping, Transmission overheating, Transmission catches in gear, Decreased fuel economy, Possibly misfire-like symptoms, Vehicle enters limp mode, Check Engine Light illuminated","Insufficient fluid level, Dirty or contaminated fluid, Dirty or clogged transmission filter, Defective transmission valve body, Restricted hydraulic passages, Transmission has internal failure, Faulty shift solenoid, Corroded or damaged connector, Faulty or damaged wiring, Faulty PCM"
P0760,Shift Solenoid B Stuck On,"Transmission slipping, Transmission overheating, Transmission catches in gear, Decreased fuel economy, Possibly misfire-like symptoms, Vehicle enters limp mode, Check Engine Light illuminated","Insufficient fluid level, Dirty or contaminated fluid, Dirty or clogged transmission filter, Defective transmission valve body, Restricted hydraulic passages, Transmission has internal failure, Faulty shift solenoid, Corroded or damaged connector, Faulty or damaged wiring, Faulty PCM"
P0761,Shift Solenoid B Electrical/ 2-3 Shift Solenoid Circuit Electrical,"Transmission slipping, Transmission overheating, Transmission catches in gear, Decreased fuel economy, Possibly misfire-like symptoms, Vehicle enters limp mode, Check Engine Light illuminated","Insufficient fluid level, Dirty or contaminated fluid, Dirty or clogged transmission filter, Defective transmission valve body, Restricted hydraulic passages, Transmission has internal failure, Faulty shift solenoid, Corroded or damaged connector, Faulty or damaged wiring, Faulty PCM"
P0762,Shift Solenoid B Intermittent,"Transmission slipping, Transmission overheating, Transmission catches in gear, Decreased fuel economy, Possibly misfire-like symptoms, Vehicle enters limp mode, Check Engine Light illuminated","Insufficient fluid level, Dirty or contaminated fluid, Dirty or clogged transmission filter, Defective transmission valve body, Restricted hydraulic passages, Transmission has internal failure, Faulty shift solenoid, Corroded or damaged connector, Faulty or damaged wiring, Faulty PCM"
P0763,Shift Solenoid C Malfunction,"Transmission slipping, Transmission overheating, Transmission catches in gear, Decreased fuel economy, Possibly misfire-like symptoms, Vehicle enters limp mode, Check Engine Light illuminated","Insufficient fluid level, Dirty or contaminated fluid, Dirty or clogged transmission filter, Defective transmission valve body, Restricted hydraulic passages, Transmission has internal failure, Faulty shift solenoid, Corroded or damaged connector, Faulty or damaged wiring, Faulty PCM"
P0764,Shift Solenoid C Performance or Stuck Off,"Transmission slipping, Transmission overheating, Transmission catches in gear, Decreased fuel economy, Possibly misfire-like symptoms, Vehicle enters limp mode, Check Engine Light illuminated","Insufficient fluid level, Dirty or contaminated fluid, Dirty or clogged transmission filter, Defective transmission valve body, Restricted hydraulic passages, Transmission has internal failure, Faulty shift solenoid, Corroded or damaged connector, Faulty or damaged wiring, Faulty PCM"
P0765,Shift Solenoid C Stuck On,"Transmission slipping, Transmission overheating, Transmission catches in gear, Decreased fuel economy, Possibly misfire-like symptoms, Vehicle enters limp mode, Check Engine Light illuminated","Insufficient fluid level, Dirty or contaminated fluid, Dirty or clogged transmission filter, Defective transmission valve body, Restricted hydraulic passages, Transmission has internal failure, Faulty shift solenoid, Corroded or damaged connector, Faulty or damaged wiring, Faulty PCM"
